"E8012001","E8012002","E8012003","E8012004","E8012005","E8012006","E8012007","E8012008","E8012009","E8012010","E8012011","E8012012","R0000100","R0536300","R0536401","R0536402","R1235800","R1482600"
0,0,0,0,0,0,0,0,0,0,0,0,142,2,1,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,143,1,8,1981,1,1
0,0,0,0,0,0,0,0,0,0,0,0,144,1,8,1982,1,1
0,0,0,0,0,0,0,0,0,0,0,0,145,1,4,1984,1,1
0,0,0,0,0,0,0,0,0,0,0,0,146,1,7,1984,1,1
0,0,0,0,0,0,0,0,0,0,0,0,147,2,2,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,148,2,10,1982,1,1
0,0,0,0,0,0,0,0,0,0,0,0,149,2,4,1983,1,1
0,0,0,0,0,0,0,0,0,0,0,0,150,1,2,1984,1,1
0,0,0,0,0,0,0,0,0,0,0,0,151,2,1,1982,1,1
99,99,99,99,99,99,99,99,99,99,99,99,152,1,5,1982,1,1
0,0,0,0,0,0,0,0,0,0,0,0,153,2,2,1980,1,1
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,154,1,6,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,155,1,2,1980,1,4
0,0,0,0,0,0,1,99,99,99,99,99,156,1,11,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,157,2,3,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,158,1,12,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,159,2,1,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,160,2,1,1981,1,2
99,99,99,99,99,99,99,99,99,99,99,99,161,1,1,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,162,2,8,1981,1,1
0,0,0,0,0,0,0,0,0,0,1,99,163,1,2,1983,1,1
99,99,99,99,99,99,99,99,99,99,99,99,164,2,7,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,165,1,4,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,166,2,9,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,167,1,11,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,168,1,1,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,169,2,1,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,170,2,8,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,171,2,7,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,172,1,7,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,173,2,6,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,174,1,4,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,175,2,10,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,176,1,9,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,177,2,11,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,178,2,3,1980,1,4
0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,179,2,9,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,180,1,9,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,181,2,11,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,182,2,5,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,183,2,12,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,184,1,12,1984,1,4
99,99,99,99,99,99,99,99,99,99,99,99,185,1,6,1981,1,1
0,0,0,0,0,0,0,0,0,0,0,0,186,2,7,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,187,1,9,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,188,2,10,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,189,2,8,1984,1,4
0,0,0,0,0,1,99,99,99,99,99,99,190,1,10,1983,1,4
99,99,99,99,99,99,99,99,99,99,99,99,191,1,2,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,192,2,3,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,193,2,2,1981,1,1
0,0,0,0,0,0,0,0,0,0,0,0,194,2,10,1980,1,2
99,99,99,99,99,99,99,99,99,99,99,99,195,1,1,1983,1,1
0,0,0,0,0,0,0,0,0,0,0,0,196,1,4,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,197,2,12,1981,1,4
99,99,99,99,99,99,99,99,99,99,99,99,198,2,7,1980,1,4
99,99,99,99,99,99,99,99,99,99,99,99,199,1,6,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,200,1,8,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,201,2,12,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,202,1,1,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,203,2,1,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,204,2,5,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,205,2,11,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,206,1,2,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,207,2,11,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,208,2,3,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,209,1,6,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,210,1,5,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,211,2,6,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,212,1,2,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,213,2,4,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,214,2,11,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,215,1,5,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,216,2,6,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,217,2,11,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,218,1,9,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,219,1,3,1982,1,3
0,0,0,0,0,0,0,0,0,0,0,0,220,1,3,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,221,2,9,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,222,1,1,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,223,1,1,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,224,2,10,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,225,1,10,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,226,2,3,1981,1,1
99,99,99,99,99,99,99,99,99,99,99,99,227,2,1,1980,1,3
0,0,0,0,0,0,0,0,0,0,0,0,228,1,1,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,229,2,2,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,230,1,5,1984,1,2
99,99,99,99,99,99,99,99,99,99,99,99,231,1,11,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,232,1,6,1984,1,2
99,99,99,99,99,1,1,99,99,99,99,99,233,1,12,1980,1,2
99,99,99,99,99,99,99,99,99,99,99,99,234,2,8,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,235,2,8,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,236,2,12,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,237,1,3,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,238,2,8,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,239,1,9,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,240,2,4,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,241,2,2,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,242,1,6,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,243,2,2,1983,1,3
0,0,0,0,0,0,0,0,0,0,0,0,244,1,3,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,245,2,7,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,246,1,10,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,247,1,3,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,248,2,9,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,249,1,8,1981,1,4
99,99,99,99,99,99,99,99,99,1,99,99,250,1,9,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,251,1,4,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,252,2,7,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,253,2,9,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,254,1,8,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,255,2,7,1983,1,4
0,0,0,1,99,99,99,1,99,99,99,99,256,1,8,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,257,1,5,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,258,1,11,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,259,1,12,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,260,1,12,1980,1,1
